https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AR,Volume BUSD,tradecount
1689379200000,2023-07-15,ARBUSD,5.84,5.98,5.78,5.98,11712.94,68916.7257,1266
1689292800000,2023-07-14,ARBUSD,6.09,6.25,5.66,5.84,35755.91,213106.4618,2761
1689206400000,2023-07-13,ARBUSD,5.73,6.18,5.67,6.09,22692.32,134555.1036,1629
1689120000000,2023-07-12,ARBUSD,5.87,5.96,5.63,5.72,13794.57,79866.6559,877
1689033600000,2023-07-11,ARBUSD,5.96,5.96,5.82,5.87,6181.69,36392.9682,506
1688947200000,2023-07-10,ARBUSD,5.87,6.11,5.75,5.93,12790.14,75666.1085,1479
1688860800000,2023-07-09,ARBUSD,5.83,5.91,5.78,5.87,7420.95,43437.464,896
1688774400000,2023-07-08,ARBUSD,5.74,5.83,5.65,5.83,13572.62,77876.5226,1026
1688688000000,2023-07-07,ARBUSD,5.53,5.74,5.46,5.73,15773.31,88409.0538,996
1688601600000,2023-07-06,ARBUSD,5.83,6.06,5.53,5.53,44667.88,258939.0041,3317
1688515200000,2023-07-05,ARBUSD,6.02,6.28,5.66,5.83,82075.59,491104.6441,5164
1688428800000,2023-07-04,ARBUSD,5.88,6.13,5.78,6.0,26131.59,155638.8638,2575
1688342400000,2023-07-03,ARBUSD,5.87,6.16,5.77,5.88,53888.21,320168.8762,3844
1688256000000,2023-07-02,ARBUSD,5.72,5.89,5.52,5.88,18883.05,106795.3886,1321
1688169600000,2023-07-01,ARBUSD,5.5,5.87,5.38,5.71,34872.28,196912.8341,1720
1688083200000,2023-06-30,ARBUSD,5.22,5.52,4.98,5.49,37756.67,200890.2863,2807
1687996800000,2023-06-29,ARBUSD,5.13,5.31,5.12,5.21,7905.53,41260.6419,1041
1687910400000,2023-06-28,ARBUSD,5.5,5.5,4.93,5.14,21231.61,111559.7592,1300
1687824000000,2023-06-27,ARBUSD,5.44,5.62,5.41,5.51,31085.98,171572.9638,1569
1687737600000,2023-06-26,ARBUSD,5.54,5.58,5.33,5.43,17419.29,95117.8954,1518
1687651200000,2023-06-25,ARBUSD,5.38,5.71,5.38,5.56,20383.63,113492.3933,2799
1687564800000,2023-06-24,ARBUSD,5.36,5.49,5.19,5.38,22334.19,119573.5894,2172
1687478400000,2023-06-23,ARBUSD,5.17,5.47,5.12,5.35,18094.76,96136.9261,1607
1687392000000,2023-06-22,ARBUSD,5.43,5.58,5.16,5.17,26681.12,142987.8385,2162
1687305600000,2023-06-21,ARBUSD,5.12,5.5,5.11,5.43,19072.18,101556.0478,1267
1687219200000,2023-06-20,ARBUSD,4.88,5.16,4.84,5.12,13051.38,65199.0199,780
1687132800000,2023-06-19,ARBUSD,4.95,4.98,4.81,4.88,14791.61,72562.4023,883
1687046400000,2023-06-18,ARBUSD,5.02,5.09,4.92,4.93,10027.02,50146.917,740
1686960000000,2023-06-17,ARBUSD,5.1,5.28,5.02,5.02,7263.62,37426.8483,770
1686873600000,2023-06-16,ARBUSD,4.97,5.2,4.9,5.11,7320.08,36794.1394,857
1686787200000,2023-06-15,ARBUSD,5.0,5.11,4.8,4.97,19301.36,95736.5657,1524
1686700800000,2023-06-14,ARBUSD,5.19,5.29,4.93,5.0,18713.63,95168.9909,896
1686614400000,2023-06-13,ARBUSD,5.15,5.31,5.06,5.2,12210.28,63164.2822,1075
1686528000000,2023-06-12,ARBUSD,5.0,5.18,4.87,5.14,14661.69,74170.9806,944
1686441600000,2023-06-11,ARBUSD,4.93,5.13,4.8,5.0,12434.56,61593.8138,851
1686355200000,2023-06-10,ARBUSD,6.11,6.11,4.2,4.93,146740.28,722332.1812,9485
1686268800000,2023-06-09,ARBUSD,6.17,6.29,6.06,6.11,10197.41,62858.8557,1058
1686182400000,2023-06-08,ARBUSD,6.14,6.24,6.03,6.17,12795.26,78524.6239,1554
1686096000000,2023-06-07,ARBUSD,6.43,6.44,6.01,6.14,22466.37,138390.4774,2124
1686009600000,2023-06-06,ARBUSD,6.29,6.53,6.1,6.43,20630.18,130447.8678,1884
1685923200000,2023-06-05,ARBUSD,6.84,6.85,6.06,6.29,39624.93,251613.4626,3158
1685836800000,2023-06-04,ARBUSD,6.84,6.95,6.79,6.85,4333.45,29880.3059,1027
1685750400000,2023-06-03,ARBUSD,6.95,6.96,6.81,6.84,8275.43,56715.3888,1164
1685664000000,2023-06-02,ARBUSD,6.67,6.98,6.6,6.95,15242.61,104399.1548,1859
1685577600000,2023-06-01,ARBUSD,6.58,6.74,6.47,6.66,9864.93,65498.7072,1542
1685491200000,2023-05-31,ARBUSD,6.89,6.93,6.48,6.59,14334.59,95053.2414,2022
1685404800000,2023-05-30,ARBUSD,6.8,7.04,6.74,6.9,14321.16,98616.246,1802
1685318400000,2023-05-29,ARBUSD,7.0,7.05,6.75,6.8,18164.36,124411.042,2232
1685232000000,2023-05-28,ARBUSD,6.81,7.09,6.76,7.01,7494.72,51733.0934,886
1685145600000,2023-05-27,ARBUSD,6.68,6.82,6.66,6.81,7240.81,48786.7291,792
1685059200000,2023-05-26,ARBUSD,6.54,6.71,6.48,6.69,12499.31,82611.7918,1099
1684972800000,2023-05-25,ARBUSD,6.55,6.57,6.38,6.55,10384.76,67219.4845,1156
1684886400000,2023-05-24,ARBUSD,6.74,6.76,6.41,6.54,24020.66,157195.347,1593
1684800000000,2023-05-23,ARBUSD,6.75,6.89,6.71,6.75,8670.13,58664.8988,782
1684713600000,2023-05-22,ARBUSD,6.64,6.77,6.53,6.75,7682.35,51386.6614,1005
1684627200000,2023-05-21,ARBUSD,6.81,6.82,6.58,6.64,6633.98,44340.2514,805
1684540800000,2023-05-20,ARBUSD,6.8,6.87,6.72,6.8,5410.45,36688.5771,702
1684454400000,2023-05-19,ARBUSD,6.84,6.89,6.73,6.81,10821.74,73758.762,1307
1684368000000,2023-05-18,ARBUSD,6.92,6.93,6.62,6.84,16918.74,115197.7672,1880
1684281600000,2023-05-17,ARBUSD,6.65,6.99,6.55,6.92,29643.4,199184.235,3007
1684195200000,2023-05-16,ARBUSD,6.66,6.72,6.57,6.65,13357.11,88935.0145,1853
1684108800000,2023-05-15,ARBUSD,6.65,6.88,6.52,6.66,47811.13,321746.4821,2875
