https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1759622400000,2025-10-05,ATOMUSDT,4.136,4.307,4.113,4.148,2297041.96,9676437.72119,46919
1759536000000,2025-10-04,ATOMUSDT,4.28,4.293,4.088,4.136,1358566.86,5650029.89459,31992
1759449600000,2025-10-03,ATOMUSDT,4.314,4.353,4.195,4.278,2220288.32,9465569.41745,54176
1759363200000,2025-10-02,ATOMUSDT,4.137,4.321,4.129,4.315,3016663.87,12796267.64477,52281
1759276800000,2025-10-01,ATOMUSDT,4.101,4.257,4.062,4.136,4430543.46,18428305.14134,87304
1759190400000,2025-09-30,ATOMUSDT,4.113,4.113,3.976,4.1,1339371.08,5432702.17844,31573
1759104000000,2025-09-29,ATOMUSDT,4.183,4.184,4.008,4.113,1510554.02,6196365.44833,33290
1759017600000,2025-09-28,ATOMUSDT,4.112,4.187,4.023,4.183,1090247.65,4455072.24173,27453
1758931200000,2025-09-27,ATOMUSDT,4.116,4.162,4.055,4.111,1028188.06,4211311.71625,26314
1758844800000,2025-09-26,ATOMUSDT,4.013,4.183,3.964,4.114,1464358.06,5955695.21133,42495
1758758400000,2025-09-25,ATOMUSDT,4.153,4.163,3.941,4.012,2403411.17,9741993.60101,67640
1758672000000,2025-09-24,ATOMUSDT,4.128,4.228,4.07,4.153,1276939.38,5333499.52502,36825
1758585600000,2025-09-23,ATOMUSDT,4.161,4.222,4.096,4.127,1264377.24,5270730.10775,39456
1758499200000,2025-09-22,ATOMUSDT,4.4,4.422,4.031,4.161,3540931.19,14834325.36599,105194
1758412800000,2025-09-21,ATOMUSDT,4.452,4.511,4.349,4.4,1451975.33,6464385.53086,32093
1758326400000,2025-09-20,ATOMUSDT,4.476,4.499,4.42,4.453,941034.06,4197718.91339,24864
1758240000000,2025-09-19,ATOMUSDT,4.672,4.751,4.452,4.477,1576905.06,7253386.74238,44680
1758153600000,2025-09-18,ATOMUSDT,4.614,4.704,4.555,4.672,1348679.91,6249442.18033,41077
1758067200000,2025-09-17,ATOMUSDT,4.547,4.639,4.451,4.613,1531271.52,6926877.43655,48866
1757980800000,2025-09-16,ATOMUSDT,4.51,4.573,4.418,4.547,1699455.25,7627319.28494,43148
1757894400000,2025-09-15,ATOMUSDT,4.635,4.676,4.451,4.51,1789895.83,8131244.02164,52428
1757808000000,2025-09-14,ATOMUSDT,4.822,4.828,4.612,4.635,1201641.27,5659791.10305,39574
1757721600000,2025-09-13,ATOMUSDT,4.749,4.887,4.711,4.823,2274630.07,10930428.57299,51929
1757635200000,2025-09-12,ATOMUSDT,4.693,4.754,4.601,4.748,1366646.95,6397079.5617,31914
1757548800000,2025-09-11,ATOMUSDT,4.681,4.705,4.587,4.692,1108703.39,5165469.62757,32793
1757462400000,2025-09-10,ATOMUSDT,4.591,4.717,4.557,4.68,1701670.4,7908164.6474,49621
1757376000000,2025-09-09,ATOMUSDT,4.541,4.679,4.489,4.591,1925198.28,8834457.36266,54942
1757289600000,2025-09-08,ATOMUSDT,4.485,4.598,4.476,4.539,1638384.69,7439493.33346,45599
1757203200000,2025-09-07,ATOMUSDT,4.41,4.51,4.409,4.484,942232.46,4201093.58924,20790
1757116800000,2025-09-06,ATOMUSDT,4.441,4.458,4.361,4.409,695969.69,3062506.92489,19059
1757030400000,2025-09-05,ATOMUSDT,4.386,4.555,4.365,4.441,2031030.71,9039967.88343,49124
1756944000000,2025-09-04,ATOMUSDT,4.522,4.539,4.338,4.386,1281181.05,5651660.47169,29441
1756857600000,2025-09-03,ATOMUSDT,4.431,4.564,4.403,4.521,1198740.74,5373542.76748,27287
1756771200000,2025-09-02,ATOMUSDT,4.396,4.471,4.351,4.43,1313954.85,5800961.28884,35500
1756684800000,2025-09-01,ATOMUSDT,4.465,4.598,4.321,4.395,2018808.1,8956382.96685,56625
1756598400000,2025-08-31,ATOMUSDT,4.504,4.618,4.462,4.467,862657.87,3928539.80349,23144
1756512000000,2025-08-30,ATOMUSDT,4.483,4.56,4.418,4.505,964652.69,4336339.21429,25611
1756425600000,2025-08-29,ATOMUSDT,4.782,4.809,4.425,4.483,2299170.21,10570451.54547,66888
1756339200000,2025-08-28,ATOMUSDT,4.491,4.808,4.461,4.782,1737576.67,8076910.45723,46263
1756252800000,2025-08-27,ATOMUSDT,4.526,4.599,4.473,4.491,1402085.86,6357527.16001,48435
1756166400000,2025-08-26,ATOMUSDT,4.414,4.583,4.388,4.526,2141382.3,9580365.17345,57619
1756080000000,2025-08-25,ATOMUSDT,4.791,4.85,4.389,4.414,4065025.62,18625008.90117,102147
1755993600000,2025-08-24,ATOMUSDT,4.89,4.971,4.654,4.791,2567263.98,12279247.3432,73477
1755907200000,2025-08-23,ATOMUSDT,4.82,4.934,4.673,4.89,2630807.17,12714520.24908,61403
1755820800000,2025-08-22,ATOMUSDT,4.43,4.854,4.296,4.819,3788204.74,17346567.96917,91737
1755734400000,2025-08-21,ATOMUSDT,4.473,4.519,4.401,4.429,1487376.29,6650811.33859,37834
1755648000000,2025-08-20,ATOMUSDT,4.291,4.507,4.267,4.472,1276589.45,5604524.31251,36435
1755561600000,2025-08-19,ATOMUSDT,4.464,4.51,4.277,4.291,1826507.78,7982018.50302,54507
1755475200000,2025-08-18,ATOMUSDT,4.621,4.628,4.38,4.463,1850426.79,8269829.34549,51514
1755388800000,2025-08-17,ATOMUSDT,4.572,4.758,4.541,4.622,1342636.54,6249040.2365,34563
1755302400000,2025-08-16,ATOMUSDT,4.459,4.603,4.447,4.571,1067237.02,4820936.18303,29978
