https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ENJ,Volume USDT,tradecount
1763596800000,2025-11-20,ENJUSDT,0.0359,0.03782,0.03324,0.03436,20851213.9,744558.439749,7545
1763510400000,2025-11-19,ENJUSDT,0.03673,0.03698,0.0339,0.0359,12499901.8,443671.137977,4766
1763424000000,2025-11-18,ENJUSDT,0.03642,0.0373,0.03559,0.03674,18104926.3,658870.537025,6354
1763337600000,2025-11-17,ENJUSDT,0.03711,0.03823,0.03579,0.03648,13945372.2,514540.572908,5271
1763251200000,2025-11-16,ENJUSDT,0.03848,0.03894,0.03573,0.03711,17418048.0,650866.608108,9272
1763164800000,2025-11-15,ENJUSDT,0.03811,0.03975,0.03802,0.03843,8071078.7,313363.003015,4205
1763078400000,2025-11-14,ENJUSDT,0.03946,0.04012,0.0375,0.03801,14636487.7,570280.068455,8046
1762992000000,2025-11-13,ENJUSDT,0.04116,0.04235,0.03826,0.03952,17022584.5,690238.385294,9116
1762905600000,2025-11-12,ENJUSDT,0.04209,0.04444,0.04039,0.04116,11168820.4,469952.007243,6475
1762819200000,2025-11-11,ENJUSDT,0.04516,0.04614,0.04189,0.0421,15694986.4,688895.452784,7055
1762732800000,2025-11-10,ENJUSDT,0.04593,0.04687,0.04435,0.04515,14372696.7,656238.754639,20445
1762646400000,2025-11-09,ENJUSDT,0.04616,0.0465,0.04322,0.04595,20624087.1,928811.105715,23054
1762560000000,2025-11-08,ENJUSDT,0.04709,0.04867,0.04518,0.04616,26885540.6,1258194.869765,11133
1762473600000,2025-11-07,ENJUSDT,0.04009,0.04918,0.03934,0.04706,45569752.7,1989467.775687,16975
1762387200000,2025-11-06,ENJUSDT,0.0394,0.04048,0.03702,0.04013,24217479.7,940925.096259,23679
1762300800000,2025-11-05,ENJUSDT,0.03814,0.03985,0.03587,0.03938,18466165.7,702595.554553,21073
1762214400000,2025-11-04,ENJUSDT,0.03858,0.04041,0.0178,0.03815,36930075.5,1389412.129886,17798
