https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SAND,Volume USDT,tradecount
1768694400000,2026-01-18,SANDUSDT,0.1503,0.1661,0.1417,0.1425,155602714.0,23770942.7773,138392
1768608000000,2026-01-17,SANDUSDT,0.1245,0.1635,0.1241,0.1503,235321242.0,34262670.47,193129
1768521600000,2026-01-16,SANDUSDT,0.1197,0.1257,0.1179,0.1244,13511182.0,1638144.2088,13478
1768435200000,2026-01-15,SANDUSDT,0.1275,0.1275,0.1173,0.1197,16793728.0,2047561.4873,20333
1768348800000,2026-01-14,SANDUSDT,0.1254,0.1305,0.1249,0.1275,42479210.0,5428159.5929,28431
1768262400000,2026-01-13,SANDUSDT,0.1138,0.1272,0.1136,0.1253,22462149.0,2724542.7374,34693
1768176000000,2026-01-12,SANDUSDT,0.1169,0.1194,0.1117,0.1138,15123156.0,1738155.695,14912
1768089600000,2026-01-11,SANDUSDT,0.1192,0.1211,0.115,0.1169,8221262.0,977355.9239,6753
1768003200000,2026-01-10,SANDUSDT,0.1191,0.1221,0.1176,0.1193,8216846.0,983468.0711,8686
1767916800000,2026-01-09,SANDUSDT,0.118,0.1221,0.1159,0.1191,11303169.0,1340590.8933,10496
1767744000000,2026-01-07,SANDUSDT,0.1266,0.1274,0.1193,0.121,18442035.0,2264674.2886,23110
1767657600000,2026-01-06,SANDUSDT,0.1262,0.1306,0.1212,0.1266,26732540.0,3374197.2449,29120
1767571200000,2026-01-05,SANDUSDT,0.1229,0.1281,0.1187,0.1262,26423497.0,3238977.4331,36140
1767484800000,2026-01-04,SANDUSDT,0.119,0.1254,0.1188,0.1229,17318792.0,2109260.987,18773
1767398400000,2026-01-03,SANDUSDT,0.12,0.1218,0.1167,0.1189,13254558.0,1574466.8041,14241
1767312000000,2026-01-02,SANDUSDT,0.1169,0.1209,0.1149,0.12,19268373.0,2267235.3417,22594
1767225600000,2026-01-01,SANDUSDT,0.1087,0.1177,0.1085,0.117,9198509.0,1037521.3087,11440
1767139200000,2025-12-31,SANDUSDT,0.1135,0.1142,0.1068,0.1088,9040653.0,997538.8689,7168
1767052800000,2025-12-30,SANDUSDT,0.1137,0.115,0.1124,0.1135,6273104.0,712584.095,5139
1766966400000,2025-12-29,SANDUSDT,0.1159,0.1193,0.1134,0.1136,10596660.0,1234480.1283,9572
1766880000000,2025-12-28,SANDUSDT,0.1159,0.118,0.1145,0.1158,7593349.0,884991.3185,10319
1766793600000,2025-12-27,SANDUSDT,0.112,0.1162,0.1099,0.1159,8574161.0,960792.3735,9511
1766707200000,2025-12-26,SANDUSDT,0.1106,0.1154,0.1099,0.112,7270264.0,818396.5959,8098
1766620800000,2025-12-25,SANDUSDT,0.1136,0.1153,0.1103,0.1107,6716753.0,760179.7703,10219
1766534400000,2025-12-24,SANDUSDT,0.1114,0.1142,0.1098,0.1136,6802837.0,759297.9524,7841
