https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
1766016000000,2025-12-18,UNIUSDT,4.967,5.435,4.849,4.96,10753995.99,55322168.83551,279784
1765929600000,2025-12-17,UNIUSDT,5.197,5.324,4.883,4.966,4372912.12,22211727.5375,138329
1765843200000,2025-12-16,UNIUSDT,5.08,5.279,4.935,5.198,3949507.64,20184464.79435,117234
1765756800000,2025-12-15,UNIUSDT,5.311,5.466,4.971,5.079,4469739.55,23134696.13437,139536
1765670400000,2025-12-14,UNIUSDT,5.501,5.565,5.247,5.31,2282268.25,12373125.7328,68447
1765584000000,2025-12-13,UNIUSDT,5.423,5.529,5.373,5.5,1368190.97,7450597.80414,38956
1765497600000,2025-12-12,UNIUSDT,5.548,5.651,5.21,5.422,3722510.24,20196351.02157,122758
1765411200000,2025-12-11,UNIUSDT,5.601,5.607,5.293,5.548,4030550.9,21818456.14643,133018
1765324800000,2025-12-10,UNIUSDT,5.746,5.946,5.527,5.602,4399936.14,25007414.13606,154091
1765238400000,2025-12-09,UNIUSDT,5.615,5.976,5.427,5.747,3948767.27,22417628.71464,135002
1765152000000,2025-12-08,UNIUSDT,5.462,5.772,5.431,5.616,3020468.04,17023458.84042,97664
1765065600000,2025-12-07,UNIUSDT,5.564,5.672,5.316,5.461,3768927.93,20788555.21356,103782
1764979200000,2025-12-06,UNIUSDT,5.473,5.624,5.415,5.563,2086447.43,11516530.74513,56414
1764892800000,2025-12-05,UNIUSDT,5.961,6.036,5.426,5.474,4749718.35,27235279.32056,139603
1764806400000,2025-12-04,UNIUSDT,6.108,6.2,5.829,5.961,3772271.77,22791320.73809,109105
1764720000000,2025-12-03,UNIUSDT,5.919,6.197,5.894,6.107,4713358.81,28436435.52243,141650
1764633600000,2025-12-02,UNIUSDT,5.601,6.039,5.368,5.92,6884300.63,39027678.3924,173614
1764547200000,2025-12-01,UNIUSDT,6.042,6.058,5.441,5.599,8050608.69,45174740.32137,220968
1764460800000,2025-11-30,UNIUSDT,6.057,6.278,6.007,6.042,2900376.46,17847094.92232,91006
1764374400000,2025-11-29,UNIUSDT,6.128,6.216,5.978,6.057,1918849.09,11700960.27855,59299
1764288000000,2025-11-28,UNIUSDT,6.142,6.356,6.05,6.129,3408527.5,21075727.17264,123962
1764201600000,2025-11-27,UNIUSDT,6.303,6.435,6.099,6.141,4322521.69,26952577.0261,111953
1764115200000,2025-11-26,UNIUSDT,6.232,6.387,5.998,6.303,3813992.58,23730896.64221,127948
1764028800000,2025-11-25,UNIUSDT,6.294,6.376,5.881,6.233,5663713.93,34725165.00112,192751
1763942400000,2025-11-24,UNIUSDT,6.136,6.429,6.055,6.295,6833348.28,42819081.80687,280001
1763856000000,2025-11-23,UNIUSDT,6.161,6.356,6.058,6.136,4011818.02,24927775.68834,165579
1763769600000,2025-11-22,UNIUSDT,6.425,6.545,5.86,6.161,6173324.55,38313337.04928,228399
1763683200000,2025-11-21,UNIUSDT,6.569,6.742,5.913,6.426,12318913.52,78228081.19546,423947
1763596800000,2025-11-20,UNIUSDT,7.224,7.384,6.476,6.57,8523390.84,59771404.09636,288189
1763510400000,2025-11-19,UNIUSDT,7.499,7.519,6.816,7.225,8368311.93,59810255.34676,334173
1763424000000,2025-11-18,UNIUSDT,7.422,7.766,7.181,7.5,10788799.38,80290561.13846,413780
1763337600000,2025-11-17,UNIUSDT,7.177,8.156,7.086,7.421,19389578.11,148416971.69943,796927
1763251200000,2025-11-16,UNIUSDT,7.358,7.923,6.978,7.178,11331659.37,84700327.28582,420454
1763164800000,2025-11-15,UNIUSDT,6.991,7.643,6.975,7.357,8242280.08,60714397.06736,298658
1763078400000,2025-11-14,UNIUSDT,7.752,7.802,6.927,6.992,12725078.81,92621504.63296,579279
1762992000000,2025-11-13,UNIUSDT,7.568,8.206,7.463,7.753,16978928.09,132738097.02682,679548
1762905600000,2025-11-12,UNIUSDT,8.25,8.863,7.474,7.568,19335335.61,159332945.31341,783674
1762819200000,2025-11-11,UNIUSDT,9.35,10.3,8.1,8.249,65925229.87,592527278.77647,2809078
1762732800000,2025-11-10,UNIUSDT,6.575,10.03,6.547,9.347,33184232.36,272237690.37546,1491402
1762646400000,2025-11-09,UNIUSDT,6.011,6.78,5.795,6.574,9508041.91,60654674.63892,324364
1762560000000,2025-11-08,UNIUSDT,5.875,6.141,5.805,6.011,7011480.4,42038890.72698,245206
1762473600000,2025-11-07,UNIUSDT,5.256,6.003,5.243,5.875,8522495.12,47600601.90228,262930
1762387200000,2025-11-06,UNIUSDT,5.345,5.373,5.106,5.255,3790676.16,19945298.47627,133815
1762300800000,2025-11-05,UNIUSDT,5.073,5.493,4.871,5.346,5632733.66,29427089.69956,195064
1762214400000,2025-11-04,UNIUSDT,5.198,5.282,4.736,5.073,9624747.25,48638552.05387,328186
1762128000000,2025-11-03,UNIUSDT,5.859,5.888,4.947,5.198,9608158.02,51231599.83752,325696
1762041600000,2025-11-02,UNIUSDT,5.864,5.927,5.712,5.859,2227553.85,12938156.32786,78268
1761955200000,2025-11-01,UNIUSDT,5.744,5.897,5.717,5.863,2461294.41,14318262.44723,74304
1761868800000,2025-10-31,UNIUSDT,5.847,5.954,5.612,5.744,5271574.29,30598790.73776,149359
1761782400000,2025-10-30,UNIUSDT,6.294,6.387,5.666,5.846,14581931.12,89236276.97288,316803
1761696000000,2025-10-29,UNIUSDT,6.339,6.448,6.142,6.295,3860839.42,24438742.99853,166846
1761609600000,2025-10-28,UNIUSDT,6.513,6.635,6.25,6.339,2383200.85,15432625.24641,104453
1761523200000,2025-10-27,UNIUSDT,6.665,6.888,6.463,6.514,3662864.47,24503918.19749,134993
1761436800000,2025-10-26,UNIUSDT,6.246,6.734,6.148,6.665,3573741.68,23101845.34921,110117
1761350400000,2025-10-25,UNIUSDT,6.243,6.299,6.16,6.245,3053819.27,19006340.81177,71655
1761264000000,2025-10-24,UNIUSDT,6.314,6.47,6.163,6.243,2907945.61,18337923.72483,103499
1761177600000,2025-10-23,UNIUSDT,6.037,6.365,6.026,6.313,2937580.38,18240650.62906,106025
1761091200000,2025-10-22,UNIUSDT,6.253,6.302,5.861,6.037,4341943.25,26541949.54799,199438
1761004800000,2025-10-21,UNIUSDT,6.337,6.653,6.108,6.253,6021138.25,38332784.48683,221111
1760918400000,2025-10-20,UNIUSDT,6.259,6.545,6.137,6.336,2902503.31,18510008.98708,130692
1760832000000,2025-10-19,UNIUSDT,6.023,6.362,5.951,6.259,3339950.03,20602224.41491,124125
1760745600000,2025-10-18,UNIUSDT,6.133,6.209,5.904,6.024,3511282.08,21215903.65112,112446
1760659200000,2025-10-17,UNIUSDT,6.279,6.409,5.844,6.132,7557565.45,46010417.07481,302859
1760572800000,2025-10-16,UNIUSDT,6.569,6.734,6.221,6.279,4771001.55,30955591.82088,274770
1760486400000,2025-10-15,UNIUSDT,6.822,6.987,6.443,6.569,5097036.25,34102305.11567,255971
1760400000000,2025-10-14,UNIUSDT,7.051,7.081,6.384,6.822,7158919.91,47834042.64162,372205
1760313600000,2025-10-13,UNIUSDT,6.619,7.12,6.491,7.051,7365492.36,49706810.15985,329512
1760227200000,2025-10-12,UNIUSDT,5.855,6.705,5.791,6.619,8575568.94,54036930.41707,353701
1760140800000,2025-10-11,UNIUSDT,5.791,6.128,5.543,5.855,18650942.79,109611579.44395,534460
1760054400000,2025-10-10,UNIUSDT,7.856,8.6,2.0,5.792,28262007.27,178224315.29273,1037190
1759968000000,2025-10-09,UNIUSDT,8.073,8.093,7.643,7.855,3265101.44,25514875.97732,148594
1759881600000,2025-10-08,UNIUSDT,7.766,8.13,7.696,8.072,2712725.91,21403710.50229,135609
1759795200000,2025-10-07,UNIUSDT,8.342,8.396,7.716,7.765,6387776.73,51028390.11783,216856
1759708800000,2025-10-06,UNIUSDT,8.06,8.448,8.0,8.342,2910094.89,24071044.11861,131062
1759622400000,2025-10-05,UNIUSDT,8.025,8.429,7.967,8.059,3034926.59,24966216.14035,122712
1759536000000,2025-10-04,UNIUSDT,8.176,8.202,7.908,8.025,1882125.85,15099870.04119,85831
1759449600000,2025-10-03,UNIUSDT,8.352,8.494,8.132,8.176,3669173.13,30381019.05691,149151
1759363200000,2025-10-02,UNIUSDT,8.073,8.394,7.985,8.353,4598011.77,37688121.90012,145472
1759276800000,2025-10-01,UNIUSDT,7.641,8.1,7.538,8.072,3412587.34,26884507.42845,127138
1759190400000,2025-09-30,UNIUSDT,7.744,7.777,7.421,7.641,2881874.69,21866035.58167,109848
1759104000000,2025-09-29,UNIUSDT,7.752,7.839,7.568,7.744,2218098.74,17111537.79075,99732
1759017600000,2025-09-28,UNIUSDT,7.618,7.772,7.408,7.751,1808318.45,13642585.6977,75185
1758931200000,2025-09-27,UNIUSDT,7.62,7.659,7.464,7.617,2602245.62,19690139.67422,72792
1758844800000,2025-09-26,UNIUSDT,7.456,7.639,7.323,7.619,5081595.19,38058813.07625,192240
1758758400000,2025-09-25,UNIUSDT,7.899,7.944,7.273,7.455,6247975.77,47739939.88099,227348
1758672000000,2025-09-24,UNIUSDT,8.058,8.196,7.831,7.899,3021192.89,24296251.28944,119823
1758585600000,2025-09-23,UNIUSDT,8.231,8.263,8.009,8.057,3012860.88,24534549.63524,109943
1758499200000,2025-09-22,UNIUSDT,9.043,9.08,7.5,8.231,9061462.83,75183759.22217,333756
1758412800000,2025-09-21,UNIUSDT,9.184,9.22,9.031,9.043,2017512.17,18410161.34249,64068
1758326400000,2025-09-20,UNIUSDT,9.162,9.281,9.103,9.185,1504585.27,13828489.0998,59846
1758240000000,2025-09-19,UNIUSDT,9.604,9.734,9.075,9.162,4277261.75,40038967.15068,136147
1758153600000,2025-09-18,UNIUSDT,9.552,9.669,9.407,9.604,3790785.97,36282181.32362,140933
1758067200000,2025-09-17,UNIUSDT,9.321,9.62,9.134,9.551,3635111.92,33927473.12,161606
1757980800000,2025-09-16,UNIUSDT,9.16,9.399,9.05,9.321,3773013.4,34774987.43023,136637
1757894400000,2025-09-15,UNIUSDT,9.413,9.54,9.02,9.161,5211510.88,47940392.80441,208090
1757808000000,2025-09-14,UNIUSDT,10.122,10.13,9.004,9.414,9741212.01,92903197.69605,294703
1757721600000,2025-09-13,UNIUSDT,10.179,10.36,9.933,10.122,3812298.03,38772544.46563,144705
1757635200000,2025-09-12,UNIUSDT,9.987,10.226,9.902,10.179,4232476.34,42666139.84906,145425
1757548800000,2025-09-11,UNIUSDT,9.737,10.05,9.699,9.986,3751741.86,36981859.20934,135366
1757462400000,2025-09-10,UNIUSDT,9.54,9.818,9.465,9.736,4209956.13,40714950.96717,124984
1757376000000,2025-09-09,UNIUSDT,9.554,9.93,9.388,9.539,4742428.74,45653990.40006,182093
1757289600000,2025-09-08,UNIUSDT,9.396,9.787,9.327,9.555,3519625.24,33743961.74663,133628
1757203200000,2025-09-07,UNIUSDT,9.334,9.449,9.261,9.396,1252891.73,11750810.36767,41731
1757116800000,2025-09-06,UNIUSDT,9.394,9.435,9.23,9.333,1364985.16,12717489.78683,44563
1757030400000,2025-09-05,UNIUSDT,9.288,9.733,9.283,9.393,3710974.03,35231396.66116,119850
1756944000000,2025-09-04,UNIUSDT,9.677,9.728,9.162,9.288,3503664.79,32971874.13985,91459
1756857600000,2025-09-03,UNIUSDT,9.582,9.762,9.4,9.676,4040661.03,38768301.34632,100901
1756771200000,2025-09-02,UNIUSDT,9.352,9.65,9.273,9.581,4507451.26,42719709.0419,140713
1756684800000,2025-09-01,UNIUSDT,9.618,9.831,9.11,9.351,5850861.64,55251665.90607,200118
1756598400000,2025-08-31,UNIUSDT,9.727,9.917,9.606,9.619,1925459.48,18877330.39516,76715
1756512000000,2025-08-30,UNIUSDT,9.633,9.827,9.404,9.726,2466593.28,23843952.90561,86053
1756425600000,2025-08-29,UNIUSDT,10.018,10.083,9.366,9.633,5638243.7,54466768.99167,196061
1756339200000,2025-08-28,UNIUSDT,9.855,10.123,9.734,10.018,4307457.39,42968426.01924,151039
1756252800000,2025-08-27,UNIUSDT,9.952,10.128,9.784,9.854,6686465.77,66593756.81094,208163
1756166400000,2025-08-26,UNIUSDT,9.703,10.027,9.571,9.951,7813287.59,76396245.43944,219727
1756080000000,2025-08-25,UNIUSDT,10.926,10.98,9.582,9.703,9517051.45,97033010.15408,338732
1755993600000,2025-08-24,UNIUSDT,11.346,11.443,10.806,10.925,6420491.67,71314950.98955,251024
1755907200000,2025-08-23,UNIUSDT,11.439,11.474,11.013,11.347,5128045.67,57700593.11802,190574
1755820800000,2025-08-22,UNIUSDT,10.227,11.631,10.013,11.438,12034264.24,130843486.02909,397687
1755734400000,2025-08-21,UNIUSDT,10.61,10.7,10.171,10.227,4095246.22,42602883.17426,161920
1755648000000,2025-08-20,UNIUSDT,9.95,10.7,9.913,10.61,5728511.31,59006285.20587,210776
1755561600000,2025-08-19,UNIUSDT,10.485,10.633,9.9,9.95,6396332.36,65453457.03779,237620
1755475200000,2025-08-18,UNIUSDT,11.017,11.056,10.1,10.484,9071673.41,95284605.93046,281239
1755388800000,2025-08-17,UNIUSDT,11.014,11.393,10.914,11.017,4655803.38,51897233.37052,149596
1755302400000,2025-08-16,UNIUSDT,10.722,11.154,10.701,11.011,5458472.77,59763778.87637,187960
1755216000000,2025-08-15,UNIUSDT,10.875,11.148,10.421,10.722,7864173.94,84999143.18612,263241
1755129600000,2025-08-14,UNIUSDT,12.131,12.3,10.6,10.875,14946938.36,169498361.42282,497944
1755043200000,2025-08-13,UNIUSDT,11.599,12.286,10.9,12.13,14296610.83,169219555.0153,464655
1754956800000,2025-08-12,UNIUSDT,11.042,11.635,10.797,11.601,15981847.96,180195375.58953,497158
1754870400000,2025-08-11,UNIUSDT,10.948,11.999,10.563,11.042,15626160.1,176060284.0434,582381
1754784000000,2025-08-10,UNIUSDT,10.98,11.367,10.45,10.948,8993384.25,98069341.55721,328209
1754697600000,2025-08-09,UNIUSDT,10.861,11.402,10.75,10.979,8465737.9,93402913.95081,274579
1754611200000,2025-08-08,UNIUSDT,10.425,11.051,10.269,10.861,8244860.64,87607155.94022,314420
1754524800000,2025-08-07,UNIUSDT,9.697,10.448,9.628,10.425,5616201.12,56330018.84095,217963
1754438400000,2025-08-06,UNIUSDT,9.581,9.809,9.384,9.697,3013229.28,28896797.47675,142900
1754352000000,2025-08-05,UNIUSDT,9.963,9.97,9.372,9.581,5232835.3,50668912.44972,195064
1754265600000,2025-08-04,UNIUSDT,9.147,10.1,9.136,9.961,8729965.9,84875390.99971,314151
1754179200000,2025-08-03,UNIUSDT,8.761,9.23,8.68,9.148,2933849.96,26483432.92478,116453
