https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume YFI,Volume USDT,tradecount
1634688000000,2021-10-20,YFIUSDT,34766.96,36197.87,34186.54,36073.52,286.13155,10105933.1634864,40399
1634601600000,2021-10-19,YFIUSDT,33850.94,34766.96,33605.56,34748.73,180.83232,6182857.9655983,21435
1634515200000,2021-10-18,YFIUSDT,34798.54,35000.0,33314.57,33852.75,271.20271,9288000.2882897,37758
1634428800000,2021-10-17,YFIUSDT,35139.19,35608.23,33088.06,34827.05,232.43272,8058228.617484,31502
1634342400000,2021-10-16,YFIUSDT,35993.88,36363.52,34990.06,35135.0,297.30664,10596002.0137383,42115
1634256000000,2021-10-15,YFIUSDT,35413.06,36674.1,34634.81,35994.14,428.27626,15386298.8999467,62259
1634169600000,2021-10-14,YFIUSDT,34626.94,36112.47,34438.08,35442.8,307.74196,10880172.3131811,41867
1634083200000,2021-10-13,YFIUSDT,34827.14,35660.07,34102.95,34626.94,500.71095,17431946.5409274,54189
1633996800000,2021-10-12,YFIUSDT,35526.79,35526.81,33228.03,34839.44,478.29715,16362774.2748982,46199
1633910400000,2021-10-11,YFIUSDT,32577.48,35549.29,32110.11,35518.79,562.00728,19265478.909364,59181
1633824000000,2021-10-10,YFIUSDT,34001.66,34900.4,32427.39,32615.64,438.12818,14878950.6809348,49573
1633737600000,2021-10-09,YFIUSDT,34629.17,35359.99,33792.63,33997.37,393.01314,13615940.2347759,38256
1633651200000,2021-10-08,YFIUSDT,32188.15,37458.75,32062.84,34580.98,1502.73673,53387473.6849226,140907
1633564800000,2021-10-07,YFIUSDT,32058.55,32763.19,30902.86,32142.06,475.84451,15184936.4130129,48011
1633478400000,2021-10-06,YFIUSDT,31866.5,32800.0,29862.2,32048.17,579.64706,18265691.8245169,59431
1633392000000,2021-10-05,YFIUSDT,30798.72,32362.05,30101.0,31860.04,626.95824,19453073.7402844,56716
1633305600000,2021-10-04,YFIUSDT,31350.51,31373.54,29674.78,30795.25,332.15229,10152370.802944,33947
1633219200000,2021-10-03,YFIUSDT,31896.23,32261.98,31164.45,31348.18,292.16125,9281340.6304282,29057
1633132800000,2021-10-02,YFIUSDT,31674.71,32780.26,30949.02,31900.0,324.88024,10341839.5842335,36403
1633046400000,2021-10-01,YFIUSDT,29199.24,31698.83,28830.9,31674.21,552.29507,16819699.3538248,55565
1632960000000,2021-09-30,YFIUSDT,28608.88,29584.93,28410.27,29196.42,274.64596,7982528.5105432,23949
1632873600000,2021-09-29,YFIUSDT,28229.02,29586.22,27926.79,28595.02,203.98116,5872427.9774388,19049
1632787200000,2021-09-28,YFIUSDT,28647.03,29974.07,28118.9,28243.89,408.82927,11901842.2287383,34134
1632700800000,2021-09-27,YFIUSDT,30381.69,31741.31,28593.37,28620.97,417.05124,12655060.3367333,45104
1632614400000,2021-09-26,YFIUSDT,30276.74,30999.99,27716.93,30402.41,514.19251,15382359.2504883,51291
1632528000000,2021-09-25,YFIUSDT,29252.85,30510.0,28511.4,30276.74,351.9632,10478790.2521079,37459
1632441600000,2021-09-24,YFIUSDT,31257.14,31365.75,27076.43,29252.9,491.18611,14253851.642842,46529
1632355200000,2021-09-23,YFIUSDT,30519.46,31417.29,29954.62,31257.14,255.18632,7856590.020661,29757
1632268800000,2021-09-22,YFIUSDT,27390.07,30603.72,26973.73,30502.63,363.45032,10633559.8689999,34940
1632182400000,2021-09-21,YFIUSDT,29573.61,30401.16,26515.46,27359.71,543.328772,15572503.67163996,50903
1632096000000,2021-09-20,YFIUSDT,33036.34,33063.94,28322.74,29483.12,695.308448,21129460.97362627,64965
1632009600000,2021-09-19,YFIUSDT,33917.94,33984.91,32467.71,33029.39,286.74563,9528253.5161189,29096
1631923200000,2021-09-18,YFIUSDT,33248.46,34424.4,32830.14,33923.02,278.2958,9435889.6642402,24533
1631836800000,2021-09-17,YFIUSDT,34778.77,35093.12,32768.79,33238.14,417.55313,14107065.1403848,38395
1631750400000,2021-09-16,YFIUSDT,36520.38,36780.37,34145.0,34786.94,526.64349,18769779.822988,49766
1631664000000,2021-09-15,YFIUSDT,35700.01,38000.0,35087.99,36491.28,785.6922,28663897.061455,87574
1631577600000,2021-09-14,YFIUSDT,32752.67,35738.39,32540.46,35700.01,504.72348,17231120.7134852,54231
1631491200000,2021-09-13,YFIUSDT,33244.62,33613.9,31082.74,32745.01,470.14879,15120847.0830475,52107
1631404800000,2021-09-12,YFIUSDT,32971.15,34333.46,32372.07,33292.06,279.98962,9341659.0927955,32358
1631318400000,2021-09-11,YFIUSDT,32832.81,34013.38,32530.94,32952.55,264.90949,8829733.67404,25529
1631232000000,2021-09-10,YFIUSDT,34363.63,35500.0,32000.0,32808.92,436.16839,14800612.2486122,44802
1631145600000,2021-09-09,YFIUSDT,34703.15,35699.0,33417.11,34343.71,548.11284,19019611.4833419,53660
1631059200000,2021-09-08,YFIUSDT,34595.36,36060.44,32179.94,34683.84,765.04297,26295618.2162521,62722
1630972800000,2021-09-07,YFIUSDT,42225.45,42788.57,31050.0,34595.38,1573.793241,58247717.03987857,131069
1630886400000,2021-09-06,YFIUSDT,42911.55,43534.85,41233.39,42207.52,771.50423,32592245.5254793,76979
1630800000000,2021-09-05,YFIUSDT,41486.99,43862.5,40452.36,42911.21,801.078713,34111456.46784132,81956
1630713600000,2021-09-04,YFIUSDT,40454.21,43557.0,39752.15,41460.0,1107.014461,46230483.19142462,114846
1630627200000,2021-09-03,YFIUSDT,38663.39,41054.6,37712.21,40417.48,910.127661,35932609.79166462,92899
1630540800000,2021-09-02,YFIUSDT,39982.98,40290.35,38472.99,38663.39,471.65823,18528750.7337975,43493
1630454400000,2021-09-01,YFIUSDT,38349.65,40463.08,37784.6,39981.21,1040.881305,41039098.9820284,105956
1630368000000,2021-08-31,YFIUSDT,36245.94,38811.56,35629.03,38312.42,678.331838,25419248.33302605,59882
1630281600000,2021-08-30,YFIUSDT,37473.65,37705.11,35940.8,36268.95,337.21623,12422818.3937934,30738
1630195200000,2021-08-29,YFIUSDT,38073.32,38683.9,36945.0,37472.05,307.054989,11573451.38730998,38802
1630108800000,2021-08-28,YFIUSDT,37816.32,38280.0,37053.42,38044.51,253.05296,9530083.8868248,30120
1630022400000,2021-08-27,YFIUSDT,36145.14,38334.89,35167.1,37815.56,398.046177,14788271.91903847,37971
1629936000000,2021-08-26,YFIUSDT,38315.27,38481.31,35526.3,36132.58,314.211904,11512861.87761963,29484
1629849600000,2021-08-25,YFIUSDT,37085.33,38426.99,36011.68,38291.69,457.640715,17051876.45175944,44659
1629763200000,2021-08-24,YFIUSDT,40000.05,40400.0,36900.0,37110.0,478.655401,18491763.54319196,42377
1629676800000,2021-08-23,YFIUSDT,39500.7,40651.18,39452.12,40008.65,464.34465,18605920.6346939,42537
1629590400000,2021-08-22,YFIUSDT,38760.88,41018.11,38359.32,39476.06,649.752627,25828222.21091478,71465
1629504000000,2021-08-21,YFIUSDT,39756.82,39934.97,38541.98,38800.0,362.655172,14226338.42394765,35459
1629417600000,2021-08-20,YFIUSDT,39157.58,40337.28,38833.18,39756.82,480.603498,18979606.67079908,48949
1629331200000,2021-08-19,YFIUSDT,37127.94,39166.7,36108.37,39146.87,440.650199,16424696.82347816,38805
1629244800000,2021-08-18,YFIUSDT,37851.42,38860.82,36814.28,37127.94,418.228836,15821835.81747124,37490
1629158400000,2021-08-17,YFIUSDT,39263.15,41841.37,37398.17,37860.09,654.762962,26160067.0018716,66851
1629072000000,2021-08-16,YFIUSDT,39850.5,41993.57,39000.0,39306.97,911.52135,36853555.27265433,85017
1628985600000,2021-08-15,YFIUSDT,39527.11,40008.07,37688.53,39818.47,486.054728,18896647.81012048,48671
1628899200000,2021-08-14,YFIUSDT,40211.53,40211.53,38211.73,39497.4,618.278319,24361136.99335197,54772
1628812800000,2021-08-13,YFIUSDT,37004.52,40469.87,36611.11,40212.19,681.879805,26784809.41193989,66391
1628726400000,2021-08-12,YFIUSDT,37973.31,40003.12,35547.81,37029.92,1097.527373,41782362.70896335,104517
1628640000000,2021-08-11,YFIUSDT,34870.35,45000.0,34786.32,37988.13,901.105381,33076876.44516895,87261
1628553600000,2021-08-10,YFIUSDT,33928.57,35615.38,33499.99,34870.35,535.383048,18500551.5865169,50533
1628467200000,2021-08-09,YFIUSDT,32738.77,34303.49,31800.0,33955.84,426.674699,14205064.10343338,35085
1628380800000,2021-08-08,YFIUSDT,34641.27,34836.69,32123.68,32720.78,556.662996,18648614.07832768,42236
1628294400000,2021-08-07,YFIUSDT,33242.66,35070.63,32852.0,34637.56,744.541463,25351105.31570855,71067
1628208000000,2021-08-06,YFIUSDT,32915.13,33710.99,32150.0,33244.89,519.565906,17124161.72867115,40097
1628121600000,2021-08-05,YFIUSDT,33002.09,33690.0,31330.0,32915.13,729.611173,23821868.13414238,52928
1628035200000,2021-08-04,YFIUSDT,31901.08,33324.25,31139.84,32998.27,362.073408,11740682.82436343,29949
1627948800000,2021-08-03,YFIUSDT,31953.23,32622.36,30568.63,31861.87,456.689964,14397366.5531758,36730
1627862400000,2021-08-02,YFIUSDT,31679.73,33500.0,31073.1,31953.23,411.499828,13292548.29289036,34229
1627776000000,2021-08-01,YFIUSDT,33112.97,33990.0,31349.94,31682.42,641.671673,21193768.22004332,47111
1627689600000,2021-07-31,YFIUSDT,31297.53,33736.53,30713.18,33056.01,773.9395,24809544.8347796,50961
1627603200000,2021-07-30,YFIUSDT,30846.25,31435.89,29749.0,31302.06,433.238525,13288352.38026257,29781
1627516800000,2021-07-29,YFIUSDT,29858.66,31137.51,29403.57,30858.5,354.18485,10671854.3599692,24398
1627430400000,2021-07-28,YFIUSDT,29643.96,30899.99,29224.8,29859.22,561.827284,16843101.73355922,38791
1627344000000,2021-07-27,YFIUSDT,30018.37,31000.0,28779.52,29650.55,512.844584,15366018.45042911,41303
