https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MKR,Volume USDT,tradecount
1745539200000,2025-04-25,MKRUSDT,1511.0,1526.0,1442.0,1486.0,8913.1621,13269419.0465,53573
1745452800000,2025-04-24,MKRUSDT,1484.0,1512.0,1437.0,1510.0,5049.4775,7478522.3196,43398
1745366400000,2025-04-23,MKRUSDT,1447.0,1539.0,1445.0,1485.0,7947.3554,11814817.8581,61515
1745280000000,2025-04-22,MKRUSDT,1348.0,1465.0,1319.0,1448.0,5736.336,8021003.7387,51620
1745193600000,2025-04-21,MKRUSDT,1355.0,1415.0,1337.0,1349.0,5201.0384,7178858.3949,45077
1745107200000,2025-04-20,MKRUSDT,1377.0,1383.0,1335.0,1355.0,2803.9215,3803127.787,20957
1745020800000,2025-04-19,MKRUSDT,1353.0,1391.0,1351.0,1378.0,2383.9238,3258185.0286,18932
1744934400000,2025-04-18,MKRUSDT,1348.0,1363.0,1336.0,1353.0,3149.9476,4243392.3151,22597
1744848000000,2025-04-17,MKRUSDT,1336.0,1379.0,1326.0,1349.0,5582.0533,7557615.8278,42872
1744761600000,2025-04-16,MKRUSDT,1356.0,1372.0,1309.0,1336.0,6243.0121,8394892.873,51417
1744675200000,2025-04-15,MKRUSDT,1383.0,1409.0,1351.0,1357.0,7763.419,10730681.4227,45143
1744588800000,2025-04-14,MKRUSDT,1357.0,1439.0,1356.0,1384.0,10777.3467,15072030.5767,60348
1744502400000,2025-04-13,MKRUSDT,1401.0,1407.0,1336.0,1356.0,6493.1847,8880772.4486,45168
1744416000000,2025-04-12,MKRUSDT,1331.0,1421.0,1308.0,1400.0,5950.7399,8171926.8849,34795
1744329600000,2025-04-11,MKRUSDT,1289.0,1350.0,1284.0,1332.0,6793.6271,8987478.54,35497
1744243200000,2025-04-10,MKRUSDT,1399.0,1400.0,1249.0,1290.0,13721.741,18040784.1061,68069
1744156800000,2025-04-09,MKRUSDT,1228.0,1800.0,1170.0,1399.0,24909.3854,32269223.0544,115625
1744070400000,2025-04-08,MKRUSDT,1232.0,1307.0,1206.0,1227.0,9688.6573,12124198.6459,56716
1743984000000,2025-04-07,MKRUSDT,1147.0,1265.0,1046.0,1233.0,18389.1572,21339569.2132,96131
1743897600000,2025-04-06,MKRUSDT,1351.0,1367.0,1129.0,1147.0,10916.4802,13721707.6359,41108
1743811200000,2025-04-05,MKRUSDT,1333.0,1356.0,1310.0,1351.0,3078.8792,4097475.6435,20262
